library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
openpyxl,cell_values_10k_bulk_read,29.692209,55.3665,10000,cells,336788.68419658503,,,,,
openpyxl-readonly,cell_values_10k_bulk_read,24.871542,25.029209,10000,cells,402065.9434786954,,,,,
pandas,cell_values_10k_bulk_read,25.434625,25.450208,10000,cells,393164.8294401824,,,,,
polars,cell_values_10k_bulk_read,7.865375,8.004917,10000,cells,1271395.197304642,,,,,
python-calamine,cell_values_10k_bulk_read,6.163417,6.244667,10000,cells,1622476.6229511974,,,,,
tablib,cell_values_10k_bulk_read,21.889208,22.104584,10000,cells,456846.13166451704,,,,,
openpyxl,cell_values_1k_bulk_read,3.823042,3.841125,1000,cells,261571.8059074423,,,,,
openpyxl-readonly,cell_values_1k_bulk_read,4.038584,4.260167,1000,cells,247611.53909390024,,,,,
pandas,cell_values_1k_bulk_read,4.650209,4.674667,1000,cells,215044.09801796003,,,,,
polars,cell_values_1k_bulk_read,1.52825,1.55775,1000,cells,654343.2030099786,,,,,
python-calamine,cell_values_1k_bulk_read,0.667459,0.730875,1000,cells,1498219.3662831725,,,,,
tablib,cell_values_1k_bulk_read,3.71125,3.75,1000,cells,269450.9936005389,,,,,
openpyxl,formulas_10k_bulk_read,37.578334,60.441583,10000,cells,266110.7860715699,,,,,
openpyxl-readonly,formulas_10k_bulk_read,32.510958,33.13325,10000,cells,307588.5982812318,,,,,
pandas,formulas_10k_bulk_read,29.839042,29.851417,10000,cells,335131.4026770699,,,,,
polars,formulas_10k_bulk_read,7.206375,7.252208,10000,cells,1387660.2313923435,,,,,
python-calamine,formulas_10k_bulk_read,7.114583,7.157375,10000,cells,1405563.7554583312,,,,,
tablib,formulas_10k_bulk_read,26.724667,27.040792,10000,cells,374186.1404671572,,,,,
openpyxl,formulas_1k_bulk_read,5.137459,5.375583,1000,cells,194648.75534773126,,,,,
openpyxl-readonly,formulas_1k_bulk_read,4.589291,4.896958,1000,cells,217898.58171992144,,,,,
pandas,formulas_1k_bulk_read,5.110125,5.413417,1000,cells,195689.92930701302,,,,,
polars,formulas_1k_bulk_read,1.519125,1.5495,1000,cells,658273.6772813296,,,,,
python-calamine,formulas_1k_bulk_read,0.740125,0.745333,1000,cells,1351123.1210944096,,,,,
tablib,formulas_1k_bulk_read,4.384167,4.539792,1000,cells,228093.50100030407,,,,,
openpyxl,cell_values_10k_1000x10_bulk_read,30.774917,30.864792,10000,cells,324939.9502848375,,,,,
openpyxl-readonly,cell_values_10k_1000x10_bulk_read,26.759917,26.887875,10000,cells,373693.2367914295,,,,,
pandas,cell_values_10k_1000x10_bulk_read,26.81375,27.289541,10000,cells,372942.98634096317,,,,,
polars,cell_values_10k_1000x10_bulk_read,5.203583,5.242459,10000,cells,1921752.7615106744,,,,,
python-calamine,cell_values_10k_1000x10_bulk_read,6.787833,6.969292,10000,cells,1473224.2234009,,,,,
tablib,cell_values_10k_1000x10_bulk_read,24.62025,24.76425,10000,cells,406169.7180166733,,,,,
openpyxl,cell_values_10k_10x1000_bulk_read,51.101959,51.333125,10000,cells,195687.21426119888,,,,,
openpyxl-readonly,cell_values_10k_10x1000_bulk_read,25.466666,43.800083,10000,cells,392670.1673473866,,,,,
pandas,cell_values_10k_10x1000_bulk_read,54.44725,56.624125,10000,cells,183664.00506912655,,,,,
polars,cell_values_10k_10x1000_bulk_read,15.085459,16.934,10000,cells,662890.0055344687,,,,,
python-calamine,cell_values_10k_10x1000_bulk_read,6.08125,6.090375,10000,cells,1644398.766700925,,,,,
tablib,cell_values_10k_10x1000_bulk_read,23.370042,43.07375,10000,cells,427898.24682386103,,,,,
openpyxl,strings_unique_1k_bulk_read,7.154166,7.635667,1000,cells,139778.69677611618,,,,,
openpyxl-readonly,strings_unique_1k_bulk_read,7.177542,7.807083,1000,cells,139323.46198740462,,,,,
pandas,strings_unique_1k_bulk_read,8.164583,8.46125,1000,cells,122480.229547547,,,,,
polars,strings_unique_1k_bulk_read,1.920834,1.923041,1000,cells,520607.1945831863,,,,,
python-calamine,strings_unique_1k_bulk_read,1.150583,1.158375,1000,cells,869124.6090025665,,,,,
tablib,strings_unique_1k_bulk_read,7.02975,7.158208,1000,cells,142252.56943703545,,,,,
openpyxl,strings_unique_1k_len64_bulk_read,7.93875,8.122542,1000,cells,125964.4150527476,,,,,
openpyxl-readonly,strings_unique_1k_len64_bulk_read,7.851542,9.484375,1000,cells,127363.51661877373,,,,,
pandas,strings_unique_1k_len64_bulk_read,8.33675,8.358208,1000,cells,119950.82016373286,,,,,
polars,strings_unique_1k_len64_bulk_read,1.719167,1.952041,1000,cells,581677.0563883556,,,,,
python-calamine,strings_unique_1k_len64_bulk_read,1.1245,1.130875,1000,cells,889284.1262783459,,,,,
tablib,strings_unique_1k_len64_bulk_read,7.185833,7.387,1000,cells,139162.71085064183,,,,,
openpyxl,strings_unique_1k_len256_bulk_read,7.977959,8.525291,1000,cells,125345.34208561362,,,,,
openpyxl-readonly,strings_unique_1k_len256_bulk_read,8.366167,8.735625,1000,cells,119529.0507588481,,,,,
pandas,strings_unique_1k_len256_bulk_read,8.710125,8.810666,1000,cells,114808.91491224294,,,,,
polars,strings_unique_1k_len256_bulk_read,1.955959,2.155833,1000,cells,511258.16031931137,,,,,
python-calamine,strings_unique_1k_len256_bulk_read,1.423375,1.447459,1000,cells,702555.5457978396,,,,,
tablib,strings_unique_1k_len256_bulk_read,7.812709,8.078208,1000,cells,127996.57583560325,,,,,
openpyxl,strings_repeated_1k_len256_bulk_read,4.266875,4.40475,1000,cells,234363.5564669694,,,,,
openpyxl-readonly,strings_repeated_1k_len256_bulk_read,4.154417,4.408875,1000,cells,240707.6612675136,,,,,
pandas,strings_repeated_1k_len256_bulk_read,5.136666,5.408959,1000,cells,194678.80527953347,,,,,
polars,strings_repeated_1k_len256_bulk_read,1.423375,1.705708,1000,cells,702555.5457978396,,,,,
python-calamine,strings_repeated_1k_len256_bulk_read,0.880875,0.885834,1000,cells,1135234.8517099475,,,,,
tablib,strings_repeated_1k_len256_bulk_read,3.922916,3.95975,1000,cells,254912.41719170127,,,,,
openpyxl,strings_unique_10k_bulk_read,62.531667,63.320583,10000,cells,159918.97353384166,,,,,
openpyxl-readonly,strings_unique_10k_bulk_read,58.403709,58.929042,10000,cells,171222.002356049,,,,,
pandas,strings_unique_10k_bulk_read,58.317333,75.449167,10000,cells,171475.6057174288,,,,,
polars,strings_unique_10k_bulk_read,8.807417,8.851833,10000,cells,1135406.6691744016,,,,,
python-calamine,strings_unique_10k_bulk_read,10.03075,10.115458,10000,cells,996934.426638088,,,,,
tablib,strings_unique_10k_bulk_read,52.973708,70.567542,10000,cells,188772.8908839079,,,,,
openpyxl,strings_repeated_10k_bulk_read,32.765417,33.264458,10000,cells,305199.8392085167,,,,,
openpyxl-readonly,strings_repeated_10k_bulk_read,27.698666,28.057333,10000,cells,361028.2170267695,,,,,
pandas,strings_repeated_10k_bulk_read,26.912708,27.242292,10000,cells,371571.675358719,,,,,
polars,strings_repeated_10k_bulk_read,6.608875,6.909459,10000,cells,1513116.8315333547,,,,,
python-calamine,strings_repeated_10k_bulk_read,8.237958,8.248708,10000,cells,1213893.054565221,,,,,
tablib,strings_repeated_10k_bulk_read,23.199875,23.347375,10000,cells,431036.8051552002,,,,,
