library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
xlsxwriter,cell_values_10k_bulk_write,,,,,,21.461708,21.66875,10000,cells,465946.13998103037
openpyxl,cell_values_10k_bulk_write,,,,,,33.124791,33.3195,10000,cells,301888.6971996291
pandas,cell_values_10k_bulk_write,,,,,,46.0035,46.274291,10000,cells,217374.76496353536
tablib,cell_values_10k_bulk_write,,,,,,39.870167,39.873375,10000,cells,250814.09867182144
xlsxwriter,cell_values_10k_sparse_1pct_bulk_write,,,,,,3.257541,3.3575,100,cells,30698.001959146488
openpyxl,cell_values_10k_sparse_1pct_bulk_write,,,,,,2.28675,2.470541,100,cells,43730.18476003061
pandas,cell_values_10k_sparse_1pct_bulk_write,,,,,,45.077209,46.546208,100,cells,2218.4159627096697
tablib,cell_values_10k_sparse_1pct_bulk_write,,,,,,24.279292,24.651875,100,cells,4118.736246509989
xlsxwriter,cell_values_1k_bulk_write,,,,,,4.479792,4.500542,1000,cells,223224.64971587967
openpyxl,cell_values_1k_bulk_write,,,,,,5.4945,5.668958,1000,cells,182000.182000182
pandas,cell_values_1k_bulk_write,,,,,,6.910875,7.103667,1000,cells,144699.47727313836
tablib,cell_values_1k_bulk_write,,,,,,5.675875,5.715042,1000,cells,176184.2887660493
xlsxwriter,cell_values_10k_1000x10_bulk_write,,,,,,21.611042,22.24225,10000,cells,462726.41550555493
openpyxl,cell_values_10k_1000x10_bulk_write,,,,,,32.535,37.456084,10000,cells,307361.30321192567
pandas,cell_values_10k_1000x10_bulk_write,,,,,,43.881292,44.428959,10000,cells,227887.54715790955
tablib,cell_values_10k_1000x10_bulk_write,,,,,,41.130875,41.157208,10000,cells,243126.3618875115
xlsxwriter,cell_values_10k_10x1000_bulk_write,,,,,,21.202709,22.645917,10000,cells,471637.84589978575
openpyxl,cell_values_10k_10x1000_bulk_write,,,,,,30.561416,31.263417,10000,cells,327209.96959041426
pandas,cell_values_10k_10x1000_bulk_write,,,,,,56.265583,80.393625,10000,cells,177728.54144246582
tablib,cell_values_10k_10x1000_bulk_write,,,,,,38.235625,38.471042,10000,cells,261536.19824443827
xlsxwriter,strings_unique_1k_bulk_write,,,,,,5.651208,5.652584,1000,cells,176953.316883753
openpyxl,strings_unique_1k_bulk_write,,,,,,5.702208,5.822958,1000,cells,175370.6634342346
pandas,strings_unique_1k_bulk_write,,,,,,8.090958,8.271667,1000,cells,123594.75849460595
tablib,strings_unique_1k_bulk_write,,,,,,6.87175,7.029875,1000,cells,145523.33830538075
xlsxwriter,strings_unique_1k_len64_bulk_write,,,,,,6.973791,7.366791,1000,cells,143394.03059254284
openpyxl,strings_unique_1k_len64_bulk_write,,,,,,7.042333,7.049542,1000,cells,141998.39740608688
pandas,strings_unique_1k_len64_bulk_write,,,,,,8.920167,9.265625,1000,cells,112105.5244817726
tablib,strings_unique_1k_len64_bulk_write,,,,,,7.694834,8.740791,1000,cells,129957.31941715702
xlsxwriter,strings_unique_1k_len256_bulk_write,,,,,,13.391375,13.422875,1000,cells,74674.93069232994
openpyxl,strings_unique_1k_len256_bulk_write,,,,,,9.729,10.055667,1000,cells,102785.48668927948
pandas,strings_unique_1k_len256_bulk_write,,,,,,10.70825,10.912292,1000,cells,93385.9407466206
tablib,strings_unique_1k_len256_bulk_write,,,,,,9.458417,9.852542,1000,cells,105725.93701461882
xlsxwriter,strings_repeated_1k_len256_bulk_write,,,,,,4.14775,4.551,1000,cells,241094.5693448255
openpyxl,strings_repeated_1k_len256_bulk_write,,,,,,11.392208,11.462625,1000,cells,87779.29616453632
pandas,strings_repeated_1k_len256_bulk_write,,,,,,12.543625,12.771292,1000,cells,79721.77101914318
tablib,strings_repeated_1k_len256_bulk_write,,,,,,9.874292,9.919125,1000,cells,101273.08368032867
xlsxwriter,strings_unique_10k_bulk_write,,,,,,32.412,34.055792,10000,cells,308527.70578797976
openpyxl,strings_unique_10k_bulk_write,,,,,,42.286583,53.677625,10000,cells,236481.62822709038
pandas,strings_unique_10k_bulk_write,,,,,,54.549709,56.583042,10000,cells,183319.03475415424
tablib,strings_unique_10k_bulk_write,,,,,,46.900292,49.455875,10000,cells,213218.28870489763
xlsxwriter,strings_repeated_10k_bulk_write,,,,,,19.41725,19.748625,10000,cells,515005.98694459826
openpyxl,strings_repeated_10k_bulk_write,,,,,,35.241667,38.408541,10000,cells,283755.0221446676
pandas,strings_repeated_10k_bulk_write,,,,,,49.566958,50.729083,10000,cells,201747.3010952175
tablib,strings_repeated_10k_bulk_write,,,,,,43.173459,43.418542,10000,cells,231623.78534460257
