library,feature,read_score,write_score
openpyxl,cell_values,3,3
xlsxwriter,cell_values,,3
python-calamine,cell_values,1,
calamine,cell_values,1,
rust_xlsxwriter,cell_values,,1
umya-spreadsheet,cell_values,3,3
pyumya,cell_values,3,3
pylightxl,cell_values,3,1
xlrd,cell_values,,
pyexcel,cell_values,3,3
xlwt,cell_values,,3
pandas,cell_values,1,3
xlsxwriter-constmem,cell_values,,3
openpyxl-readonly,cell_values,3,
polars,cell_values,1,
tablib,cell_values,3,3
openpyxl,formulas,3,3
xlsxwriter,formulas,,3
python-calamine,formulas,0,
calamine,formulas,0,
rust_xlsxwriter,formulas,,3
umya-spreadsheet,formulas,0,3
pyumya,formulas,3,3
pylightxl,formulas,0,3
xlrd,formulas,,
pyexcel,formulas,0,3
xlwt,formulas,,0
pandas,formulas,0,3
xlsxwriter-constmem,formulas,,3
openpyxl-readonly,formulas,3,
polars,formulas,0,
tablib,formulas,0,3
openpyxl,text_formatting,3,3
xlsxwriter,text_formatting,,3
python-calamine,text_formatting,0,
calamine,text_formatting,0,
rust_xlsxwriter,text_formatting,,3
umya-spreadsheet,text_formatting,3,3
pyumya,text_formatting,3,3
pylightxl,text_formatting,0,0
xlrd,text_formatting,,
pyexcel,text_formatting,0,0
xlwt,text_formatting,,1
pandas,text_formatting,0,0
xlsxwriter-constmem,text_formatting,,3
openpyxl-readonly,text_formatting,0,
polars,text_formatting,0,
tablib,text_formatting,0,0
openpyxl,background_colors,3,3
xlsxwriter,background_colors,,3
python-calamine,background_colors,0,
calamine,background_colors,0,
rust_xlsxwriter,background_colors,,3
umya-spreadsheet,background_colors,3,3
pyumya,background_colors,3,3
pylightxl,background_colors,0,0
xlrd,background_colors,,
pyexcel,background_colors,0,0
xlwt,background_colors,,1
pandas,background_colors,0,0
xlsxwriter-constmem,background_colors,,3
openpyxl-readonly,background_colors,0,
polars,background_colors,0,
tablib,background_colors,0,0
openpyxl,number_formats,3,3
xlsxwriter,number_formats,,3
python-calamine,number_formats,0,
calamine,number_formats,0,
rust_xlsxwriter,number_formats,,3
umya-spreadsheet,number_formats,3,3
pyumya,number_formats,3,3
pylightxl,number_formats,0,0
xlrd,number_formats,,
pyexcel,number_formats,0,1
xlwt,number_formats,,3
pandas,number_formats,0,0
xlsxwriter-constmem,number_formats,,3
openpyxl-readonly,number_formats,0,
polars,number_formats,0,
tablib,number_formats,0,1
openpyxl,alignment,3,3
xlsxwriter,alignment,,3
python-calamine,alignment,1,
calamine,alignment,1,
rust_xlsxwriter,alignment,,3
umya-spreadsheet,alignment,1,1
pyumya,alignment,1,0
pylightxl,alignment,0,1
xlrd,alignment,,
pyexcel,alignment,1,1
xlwt,alignment,,3
pandas,alignment,1,1
xlsxwriter-constmem,alignment,,3
openpyxl-readonly,alignment,1,
polars,alignment,1,
tablib,alignment,1,1
openpyxl,borders,3,3
xlsxwriter,borders,,3
python-calamine,borders,0,
calamine,borders,0,
rust_xlsxwriter,borders,,3
umya-spreadsheet,borders,1,1
pyumya,borders,1,0
pylightxl,borders,0,0
xlrd,borders,,
pyexcel,borders,0,0
xlwt,borders,,1
pandas,borders,0,0
xlsxwriter-constmem,borders,,3
openpyxl-readonly,borders,0,
polars,borders,0,
tablib,borders,0,0
openpyxl,dimensions,3,3
xlsxwriter,dimensions,,3
python-calamine,dimensions,0,
calamine,dimensions,0,
rust_xlsxwriter,dimensions,,3
umya-spreadsheet,dimensions,1,3
pyumya,dimensions,3,3
pylightxl,dimensions,0,0
xlrd,dimensions,,
pyexcel,dimensions,0,0
xlwt,dimensions,,1
pandas,dimensions,0,0
xlsxwriter-constmem,dimensions,,1
openpyxl-readonly,dimensions,0,
polars,dimensions,0,
tablib,dimensions,0,0
openpyxl,multiple_sheets,3,3
xlsxwriter,multiple_sheets,,3
python-calamine,multiple_sheets,3,
calamine,multiple_sheets,3,
rust_xlsxwriter,multiple_sheets,,3
umya-spreadsheet,multiple_sheets,3,3
pyumya,multiple_sheets,3,3
pylightxl,multiple_sheets,3,3
xlrd,multiple_sheets,,
pyexcel,multiple_sheets,3,3
xlwt,multiple_sheets,,3
pandas,multiple_sheets,3,3
xlsxwriter-constmem,multiple_sheets,,3
openpyxl-readonly,multiple_sheets,3,
polars,multiple_sheets,1,
tablib,multiple_sheets,3,3
openpyxl,merged_cells,3,3
xlsxwriter,merged_cells,,3
python-calamine,merged_cells,0,
calamine,merged_cells,0,
rust_xlsxwriter,merged_cells,,0
umya-spreadsheet,merged_cells,3,3
pyumya,merged_cells,3,3
pylightxl,merged_cells,0,0
xlrd,merged_cells,,
pyexcel,merged_cells,0,0
xlwt,merged_cells,,0
pandas,merged_cells,0,0
xlsxwriter-constmem,merged_cells,,3
openpyxl-readonly,merged_cells,0,
polars,merged_cells,0,
tablib,merged_cells,0,0
openpyxl,conditional_formatting,3,3
xlsxwriter,conditional_formatting,,3
python-calamine,conditional_formatting,0,
calamine,conditional_formatting,0,
rust_xlsxwriter,conditional_formatting,,0
umya-spreadsheet,conditional_formatting,3,0
pyumya,conditional_formatting,3,3
pylightxl,conditional_formatting,0,0
xlrd,conditional_formatting,,
pyexcel,conditional_formatting,0,0
xlwt,conditional_formatting,,0
pandas,conditional_formatting,0,0
xlsxwriter-constmem,conditional_formatting,,3
openpyxl-readonly,conditional_formatting,0,
polars,conditional_formatting,0,
tablib,conditional_formatting,0,0
openpyxl,data_validation,3,3
xlsxwriter,data_validation,,3
python-calamine,data_validation,0,
calamine,data_validation,0,
rust_xlsxwriter,data_validation,,0
umya-spreadsheet,data_validation,3,3
pyumya,data_validation,3,3
pylightxl,data_validation,0,0
xlrd,data_validation,,
pyexcel,data_validation,0,0
xlwt,data_validation,,0
pandas,data_validation,0,0
xlsxwriter-constmem,data_validation,,3
openpyxl-readonly,data_validation,0,
polars,data_validation,0,
tablib,data_validation,0,0
openpyxl,hyperlinks,3,3
xlsxwriter,hyperlinks,,3
python-calamine,hyperlinks,0,
calamine,hyperlinks,0,
rust_xlsxwriter,hyperlinks,,0
umya-spreadsheet,hyperlinks,0,0
pyumya,hyperlinks,3,3
pylightxl,hyperlinks,0,0
xlrd,hyperlinks,,
pyexcel,hyperlinks,0,0
xlwt,hyperlinks,,0
pandas,hyperlinks,0,0
xlsxwriter-constmem,hyperlinks,,3
openpyxl-readonly,hyperlinks,0,
polars,hyperlinks,0,
tablib,hyperlinks,0,0
openpyxl,images,3,3
xlsxwriter,images,,3
python-calamine,images,0,
calamine,images,0,
rust_xlsxwriter,images,,0
umya-spreadsheet,images,0,3
pyumya,images,3,3
pylightxl,images,0,0
xlrd,images,,
pyexcel,images,0,0
xlwt,images,,0
pandas,images,0,0
xlsxwriter-constmem,images,,0
openpyxl-readonly,images,0,
polars,images,0,
tablib,images,0,0
openpyxl,pivot_tables,,
xlsxwriter,pivot_tables,,
python-calamine,pivot_tables,,
calamine,pivot_tables,,
rust_xlsxwriter,pivot_tables,,
umya-spreadsheet,pivot_tables,,
pyumya,pivot_tables,,
pylightxl,pivot_tables,,
xlrd,pivot_tables,,
pyexcel,pivot_tables,,
xlwt,pivot_tables,,
pandas,pivot_tables,,
xlsxwriter-constmem,pivot_tables,,
openpyxl-readonly,pivot_tables,,
polars,pivot_tables,,
tablib,pivot_tables,,
openpyxl,comments,3,3
xlsxwriter,comments,,3
python-calamine,comments,0,
calamine,comments,0,
rust_xlsxwriter,comments,,0
umya-spreadsheet,comments,3,3
pyumya,comments,3,3
pylightxl,comments,0,0
xlrd,comments,,
pyexcel,comments,0,0
xlwt,comments,,0
pandas,comments,0,0
xlsxwriter-constmem,comments,,0
openpyxl-readonly,comments,0,
polars,comments,0,
tablib,comments,0,0
openpyxl,freeze_panes,3,3
xlsxwriter,freeze_panes,,3
python-calamine,freeze_panes,0,
calamine,freeze_panes,0,
rust_xlsxwriter,freeze_panes,,0
umya-spreadsheet,freeze_panes,3,3
pyumya,freeze_panes,3,3
pylightxl,freeze_panes,0,0
