library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
openpyxl,cell_values_10k,37.17375,37.862083,10000,cells,269007.0278086015,39.647916,40.009584,10000,cells,252220.06624509595
xlsxwriter,cell_values_10k,,,,,,32.978125,53.858416,10000,cells,303231.3086326163
pylightxl,cell_values_10k,39.123333,39.181708,10000,cells,255601.9447525087,33.339834,33.389459,10000,cells,299941.5054076154
pyexcel,cell_values_10k,162.791083,169.275375,10000,cells,61428.426027487025,32.75075,32.804708,10000,cells,305336.5190110151
openpyxl,cell_values_1k,4.57475,4.600125,1000,cells,218591.17984589323,5.47175,5.494166,1000,cells,182756.8876502033
xlsxwriter,cell_values_1k,,,,,,5.291667,5.327459,1000,cells,188976.36604873283
pylightxl,cell_values_1k,5.074708,5.282667,1000,cells,197055.67295694648,3.568,3.61025,1000,cells,280269.05829596415
pyexcel,cell_values_1k,8.609,8.618042,1000,cells,116157.50958299453,4.52325,4.671458,1000,cells,221079.9756812027
openpyxl,formulas_10k,45.613334,46.081208,10000,cells,219234.1388594835,40.054125,40.15,10000,cells,249662.17586827825
xlsxwriter,formulas_10k,,,,,,84.00725,105.299083,10000,cells,119037.34499105733
pylightxl,formulas_10k,44.245416,45.095042,10000,cells,226012.113887685,31.0665,31.084958,10000,cells,321890.1388955949
pyexcel,formulas_10k,161.501417,163.376917,10000,cells,61918.96136737921,33.777083,38.323667,10000,cells,296058.7212341575
openpyxl,formulas_1k,5.757375,5.928875,1000,cells,173690.26683167243,6.57175,7.096125,1000,cells,152166.47011830943
xlsxwriter,formulas_1k,,,,,,12.441459,12.877291,1000,cells,80376.42530510288
pylightxl,formulas_1k,5.859625,6.061666,1000,cells,170659.3851995648,3.734792,3.775666,1000,cells,267752.5281193705
pyexcel,formulas_1k,9.267584,9.454167,1000,cells,107902.98744527162,5.389083,5.477167,1000,cells,185560.326311545
openpyxl,background_colors_1k,8.274792,8.413917,1000,cells,120848.95910374545,21.851958,22.284666,1000,cells,45762.48956729644
xlsxwriter,background_colors_1k,,,,,,13.710083,13.730083,1000,cells,72939.01867698395
pylightxl,background_colors_1k,5.284083,5.334625,1000,cells,189247.59508887352,3.896666,3.958125,1000,cells,256629.6418528044
pyexcel,background_colors_1k,5.065334,5.281083,1000,cells,197420.34779937513,7.283666,9.289958,1000,cells,137293.5002785685
openpyxl,number_formats_1k,8.082875,8.403667,1000,cells,123718.3551644681,8.183833,9.243375,1000,cells,122192.1317309383
xlsxwriter,number_formats_1k,,,,,,11.934209,11.957208,1000,cells,83792.7339801071
pylightxl,number_formats_1k,5.207167,5.841375,1000,cells,192043.00534244438,3.761917,4.056292,1000,cells,265821.9200476778
pyexcel,number_formats_1k,4.604458,4.67825,1000,cells,217180.827797756,5.322959,5.392334,1000,cells,187865.4334929125
openpyxl,alignment_1k,8.3425,8.418292,1000,cells,119868.1450404555,18.373041,18.876,1000,cells,54427.57135304929
xlsxwriter,alignment_1k,,,,,,13.15725,13.512,1000,cells,76003.72418248495
pylightxl,alignment_1k,5.260333,5.305292,1000,cells,190102.03346442134,3.653583,3.71325,1000,cells,273703.9229709576
pyexcel,alignment_1k,4.888584,4.978375,1000,cells,204558.2115393742,5.793042,6.194791,1000,cells,172620.87863336742
openpyxl,borders_200,2.761041,2.822292,200,cells,72436.44697778845,11.325542,11.733708,200,cells,17659.19900345608
xlsxwriter,borders_200,,,,,,5.984084,6.300292,200,cells,33421.99073408729
pylightxl,borders_200,1.707334,2.000291,200,cells,117141.69576661626,1.115791,1.232459,200,cells,179245.03782518412
pyexcel,borders_200,1.905458,2.031583,200,cells,104961.64176801588,2.507042,2.80375,200,cells,79775.28896604045
