library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
openpyxl,cell_values_10k_bulk_read,30.006125,56.775125,10000,cells,333265.29166961747,,,,,
openpyxl-readonly,cell_values_10k_bulk_read,24.969167,24.970125,10000,cells,400493.9371826061,,,,,
pandas,cell_values_10k_bulk_read,25.38,25.525167,10000,cells,394011.0323089047,,,,,
polars,cell_values_10k_bulk_read,8.163541,8.173459,10000,cells,1224958.6300846655,,,,,
python-calamine,cell_values_10k_bulk_read,6.363666,6.380375,10000,cells,1571421.253095307,,,,,
tablib,cell_values_10k_bulk_read,21.604834,22.175125,10000,cells,462859.37674874056,,,,,
wolfxl,cell_values_10k_bulk_read,79.266292,79.708542,10000,cells,126157.0302796553,,,,,
calamine-styled,cell_values_10k_bulk_read,80.426625,80.77575,10000,cells,124336.9344417971,,,,,
openpyxl,cell_values_1k_bulk_read,3.709292,3.89275,1000,cells,269593.22695544054,,,,,
openpyxl-readonly,cell_values_1k_bulk_read,3.995542,4.544084,1000,cells,250278.93587403162,,,,,
pandas,cell_values_1k_bulk_read,4.569875,4.671042,1000,cells,218824.36609316448,,,,,
polars,cell_values_1k_bulk_read,1.742791,1.75075,1000,cells,573792.267690159,,,,,
python-calamine,cell_values_1k_bulk_read,0.676125,0.698167,1000,cells,1479016.4540580513,,,,,
tablib,cell_values_1k_bulk_read,3.748459,3.753417,1000,cells,266776.2939383891,,,,,
wolfxl,cell_values_1k_bulk_read,8.673334,8.739125,1000,cells,115295.9173485075,,,,,
calamine-styled,cell_values_1k_bulk_read,8.561583,8.573,1000,cells,116800.82993997721,,,,,
openpyxl,formulas_10k_bulk_read,37.021667,37.225084,10000,cells,270112.0940880377,,,,,
openpyxl-readonly,formulas_10k_bulk_read,31.876708,32.958917,10000,cells,313708.68033173314,,,,,
pandas,formulas_10k_bulk_read,29.110542,29.6345,10000,cells,343518.1660307115,,,,,
polars,formulas_10k_bulk_read,6.933958,6.93575,10000,cells,1442177.7576385667,,,,,
python-calamine,formulas_10k_bulk_read,7.176167,7.282834,10000,cells,1393501.5726361996,,,,,
tablib,formulas_10k_bulk_read,26.822375,26.932875,10000,cells,372823.0628346669,,,,,
wolfxl,formulas_10k_bulk_read,109.913,109.929625,10000,cells,90981.04864756671,,,,,
calamine-styled,formulas_10k_bulk_read,110.164917,110.190458,10000,cells,90772.999901593,,,,,
openpyxl,formulas_1k_bulk_read,4.779459,4.977917,1000,cells,209228.7014074187,,,,,
openpyxl-readonly,formulas_1k_bulk_read,4.832583,4.857542,1000,cells,206928.6756171596,,,,,
pandas,formulas_1k_bulk_read,5.377125,6.046208,1000,cells,185972.9874235767,,,,,
polars,formulas_1k_bulk_read,1.466667,1.575833,1000,cells,681818.0268595393,,,,,
python-calamine,formulas_1k_bulk_read,0.762792,0.787,1000,cells,1310973.371508878,,,,,
tablib,formulas_1k_bulk_read,4.299958,4.309542,1000,cells,232560.41105517774,,,,,
wolfxl,formulas_1k_bulk_read,11.638208,11.8095,1000,cells,85923.88106485122,,,,,
calamine-styled,formulas_1k_bulk_read,11.937292,11.969833,1000,cells,83771.09314239779,,,,,
openpyxl,cell_values_10k_1000x10_bulk_read,31.313208,31.632917,10000,cells,319354.05660129106,,,,,
openpyxl-readonly,cell_values_10k_1000x10_bulk_read,26.8955,27.031084,10000,cells,371809.41049617965,,,,,
pandas,cell_values_10k_1000x10_bulk_read,26.0355,26.537625,10000,cells,384090.9527376083,,,,,
polars,cell_values_10k_1000x10_bulk_read,4.968375,5.040083,10000,cells,2012730.520542431,,,,,
python-calamine,cell_values_10k_1000x10_bulk_read,6.8265,6.979917,10000,cells,1464879.5136600013,,,,,
tablib,cell_values_10k_1000x10_bulk_read,23.755958,24.577333,10000,cells,420947.03147732455,,,,,
wolfxl,cell_values_10k_1000x10_bulk_read,83.004375,83.135458,10000,cells,120475.57734155579,,,,,
calamine-styled,cell_values_10k_1000x10_bulk_read,83.773583,84.021709,10000,cells,119369.37208475373,,,,,
openpyxl,cell_values_10k_10x1000_bulk_read,28.808292,51.832375,10000,cells,347122.2799324583,,,,,
openpyxl-readonly,cell_values_10k_10x1000_bulk_read,24.743917,25.046375,10000,cells,404139.7326057956,,,,,
pandas,cell_values_10k_10x1000_bulk_read,36.291125,56.109416,10000,cells,275549.46285076585,,,,,
polars,cell_values_10k_10x1000_bulk_read,13.7505,13.795667,10000,cells,727246.2819533835,,,,,
python-calamine,cell_values_10k_10x1000_bulk_read,6.196292,6.309291,10000,cells,1613868.4232440952,,,,,
tablib,cell_values_10k_10x1000_bulk_read,22.109875,22.181208,10000,cells,452286.5913986398,,,,,
wolfxl,cell_values_10k_10x1000_bulk_read,78.400584,79.011292,10000,cells,127550.07029029274,,,,,
calamine-styled,cell_values_10k_10x1000_bulk_read,78.0995,79.085,10000,cells,128041.79284118336,,,,,
openpyxl,strings_unique_1k_bulk_read,7.207167,7.541917,1000,cells,138750.77405588076,,,,,
openpyxl-readonly,strings_unique_1k_bulk_read,7.367541,7.764416,1000,cells,135730.49678311936,,,,,
pandas,strings_unique_1k_bulk_read,7.78875,8.301,1000,cells,128390.30653185684,,,,,
polars,strings_unique_1k_bulk_read,1.461041,1.513917,1000,cells,684443.4892655305,,,,,
python-calamine,strings_unique_1k_bulk_read,1.007708,1.011666,1000,cells,992350.9588094964,,,,,
tablib,strings_unique_1k_bulk_read,6.619208,6.817541,1000,cells,151075.47609925538,,,,,
wolfxl,strings_unique_1k_bulk_read,12.335083,12.464458,1000,cells,81069.5801560476,,,,,
calamine-styled,strings_unique_1k_bulk_read,12.17625,12.274833,1000,cells,82127.09167436608,,,,,
openpyxl,strings_unique_1k_len64_bulk_read,7.337542,7.509375,1000,cells,136285.42092161108,,,,,
openpyxl-readonly,strings_unique_1k_len64_bulk_read,7.441875,7.560708,1000,cells,134374.73754934073,,,,,
pandas,strings_unique_1k_len64_bulk_read,8.761625,9.054792,1000,cells,114134.07900931619,,,,,
polars,strings_unique_1k_len64_bulk_read,1.736375,1.79,1000,cells,575912.4613058815,,,,,
python-calamine,strings_unique_1k_len64_bulk_read,1.099959,1.109542,1000,cells,909124.7946514371,,,,,
tablib,strings_unique_1k_len64_bulk_read,7.102708,7.226833,1000,cells,140791.3714036956,,,,,
wolfxl,strings_unique_1k_len64_bulk_read,13.186292,13.270458,1000,cells,75836.33063790791,,,,,
calamine-styled,strings_unique_1k_len64_bulk_read,13.277833,13.335,1000,cells,75313.49430287308,,,,,
openpyxl,strings_unique_1k_len256_bulk_read,8.299167,8.454375,1000,cells,120494.02066496553,,,,,
openpyxl-readonly,strings_unique_1k_len256_bulk_read,8.202375,8.631542,1000,cells,121915.90850211067,,,,,
pandas,strings_unique_1k_len256_bulk_read,8.896375,9.235458,1000,cells,112405.33363308088,,,,,
polars,strings_unique_1k_len256_bulk_read,1.9535,1.973125,1000,cells,511901.7148707448,,,,,
python-calamine,strings_unique_1k_len256_bulk_read,1.5125,1.537042,1000,cells,661157.0247933884,,,,,
tablib,strings_unique_1k_len256_bulk_read,7.804959,8.077375,1000,cells,128123.67111729863,,,,,
wolfxl,strings_unique_1k_len256_bulk_read,15.809125,15.954541,1000,cells,63254.60770282985,,,,,
calamine-styled,strings_unique_1k_len256_bulk_read,15.545125,15.59275,1000,cells,64328.84907647896,,,,,
openpyxl,strings_repeated_1k_len256_bulk_read,4.15875,4.42675,1000,cells,240456.86804929364,,,,,
openpyxl-readonly,strings_repeated_1k_len256_bulk_read,4.136417,4.542584,1000,cells,241755.12285149202,,,,,
pandas,strings_repeated_1k_len256_bulk_read,5.283959,5.961708,1000,cells,189252.03620997057,,,,,
polars,strings_repeated_1k_len256_bulk_read,1.628916,1.657334,1000,cells,613905.1983036571,,,,,
python-calamine,strings_repeated_1k_len256_bulk_read,0.923917,0.925625,1000,cells,1082348.3061790182,,,,,
tablib,strings_repeated_1k_len256_bulk_read,4.261458,4.48325,1000,cells,234661.47032306783,,,,,
wolfxl,strings_repeated_1k_len256_bulk_read,9.994625,10.105958,1000,cells,100053.77890616207,,,,,
calamine-styled,strings_repeated_1k_len256_bulk_read,10.163125,10.265708,1000,cells,98394.93266096796,,,,,
openpyxl,strings_unique_10k_bulk_read,63.028042,63.122542,10000,cells,158659.53760708607,,,,,
openpyxl-readonly,strings_unique_10k_bulk_read,57.859708,58.469292,10000,cells,172831.8435343642,,,,,
pandas,strings_unique_10k_bulk_read,58.226875,77.817125,10000,cells,171742.00057962924,,,,,
polars,strings_unique_10k_bulk_read,8.709459,8.7435,10000,cells,1148176.941874346,,,,,
python-calamine,strings_unique_10k_bulk_read,9.990958,10.047875,10000,cells,1000905.0183175629,,,,,
tablib,strings_unique_10k_bulk_read,53.975709,73.163042,10000,cells,185268.5251434122,,,,,
wolfxl,strings_unique_10k_bulk_read,119.904,120.965625,10000,cells,83400.05337603416,,,,,
calamine-styled,strings_unique_10k_bulk_read,120.317833,121.023625,10000,cells,83113.19902179422,,,,,
openpyxl,strings_repeated_10k_bulk_read,33.695917,55.593875,10000,cells,296771.86111302447,,,,,
openpyxl-readonly,strings_repeated_10k_bulk_read,27.90875,28.44725,10000,cells,358310.56568280555,,,,,
pandas,strings_repeated_10k_bulk_read,26.726666,27.001542,10000,cells,374158.15350855957,,,,,
polars,strings_repeated_10k_bulk_read,6.357166,6.754583,10000,cells,1573027.9813363375,,,,,
python-calamine,strings_repeated_10k_bulk_read,8.4175,8.784917,10000,cells,1188001.188001188,,,,,
tablib,strings_repeated_10k_bulk_read,22.910833,23.687542,10000,cells,436474.745374819,,,,,
wolfxl,strings_repeated_10k_bulk_read,92.776833,93.334375,10000,cells,107785.52874293522,,,,,
calamine-styled,strings_repeated_10k_bulk_read,93.565541,94.260417,10000,cells,106876.95377083322,,,,,
