library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
xlsxwriter,cell_values_10k_bulk_write,,,,,,19.98225,20.111,10000,cells,500444.1441779579
openpyxl,cell_values_10k_bulk_write,,,,,,30.509375,30.519667,10000,cells,327768.1040663731
pandas,cell_values_10k_bulk_write,,,,,,41.015083,41.199584,10000,cells,243812.74566724637
tablib,cell_values_10k_bulk_write,,,,,,37.357042,37.710792,10000,cells,267687.14717830176
wolfxl,cell_values_10k_bulk_write,,,,,,91.790292,92.066542,10000,cells,108943.98287784072
rust_xlsxwriter,cell_values_10k_bulk_write,,,,,,92.005541,92.028792,10000,cells,108689.10601808211
xlsxwriter,cell_values_10k_sparse_1pct_bulk_write,,,,,,2.740083,2.889667,100,cells,36495.244852072
openpyxl,cell_values_10k_sparse_1pct_bulk_write,,,,,,2.667209,2.753125,100,cells,37492.37498823676
pandas,cell_values_10k_sparse_1pct_bulk_write,,,,,,37.225667,41.065792,100,cells,2686.318555420377
tablib,cell_values_10k_sparse_1pct_bulk_write,,,,,,23.178458,23.194458,100,cells,4314.350851122193
wolfxl,cell_values_10k_sparse_1pct_bulk_write,,,,,,4.93875,5.095541,100,cells,20248.038471273096
rust_xlsxwriter,cell_values_10k_sparse_1pct_bulk_write,,,,,,5.12975,5.214875,100,cells,19494.127394122523
xlsxwriter,cell_values_1k_bulk_write,,,,,,3.86775,3.896,1000,cells,258548.25156744878
openpyxl,cell_values_1k_bulk_write,,,,,,4.6735,4.726709,1000,cells,213972.3975607147
pandas,cell_values_1k_bulk_write,,,,,,6.181,6.783,1000,cells,161786.11875101115
tablib,cell_values_1k_bulk_write,,,,,,5.171917,5.36775,1000,cells,193351.90413921958
wolfxl,cell_values_1k_bulk_write,,,,,,10.262917,10.266125,1000,cells,97438.18448497634
rust_xlsxwriter,cell_values_1k_bulk_write,,,,,,10.174916,10.284125,1000,cells,98280.9096409248
xlsxwriter,cell_values_10k_1000x10_bulk_write,,,,,,20.521542,24.061166,10000,cells,487292.8164949788
openpyxl,cell_values_10k_1000x10_bulk_write,,,,,,29.988209,30.023333,10000,cells,333464.39595642406
pandas,cell_values_10k_1000x10_bulk_write,,,,,,40.584583,41.203333,10000,cells,246398.98357462487
tablib,cell_values_10k_1000x10_bulk_write,,,,,,38.722084,38.835583,10000,cells,258250.56316700307
wolfxl,cell_values_10k_1000x10_bulk_write,,,,,,90.599875,91.032417,10000,cells,110375.42822216918
rust_xlsxwriter,cell_values_10k_1000x10_bulk_write,,,,,,89.806125,89.849458,10000,cells,111350.9796798381
xlsxwriter,cell_values_10k_10x1000_bulk_write,,,,,,19.238334,19.487208,10000,cells,519795.5290723199
openpyxl,cell_values_10k_10x1000_bulk_write,,,,,,29.596292,30.058125,10000,cells,337880.16417732334
pandas,cell_values_10k_10x1000_bulk_write,,,,,,53.517542,55.001208,10000,cells,186854.62049060475
tablib,cell_values_10k_10x1000_bulk_write,,,,,,36.837125,36.853208,10000,cells,271465.2677156537
wolfxl,cell_values_10k_10x1000_bulk_write,,,,,,92.642458,93.140875,10000,cells,107941.86829542022
rust_xlsxwriter,cell_values_10k_10x1000_bulk_write,,,,,,93.091917,93.499667,10000,cells,107420.71194000657
xlsxwriter,strings_unique_1k_bulk_write,,,,,,5.433208,5.651416,1000,cells,184053.32540186204
openpyxl,strings_unique_1k_bulk_write,,,,,,7.032375,7.199292,1000,cells,142199.47030697312
pandas,strings_unique_1k_bulk_write,,,,,,7.797375,7.803125,1000,cells,128248.28868689784
tablib,strings_unique_1k_bulk_write,,,,,,6.267917,6.3475,1000,cells,159542.63593471324
wolfxl,strings_unique_1k_bulk_write,,,,,,14.108666,14.113209,1000,cells,70878.42323292649
rust_xlsxwriter,strings_unique_1k_bulk_write,,,,,,13.959292,13.987708,1000,cells,71636.87098170882
xlsxwriter,strings_unique_1k_len64_bulk_write,,,,,,5.56875,5.801458,1000,cells,179573.51290684624
openpyxl,strings_unique_1k_len64_bulk_write,,,,,,6.442958,6.509958,1000,cells,155208.2133703184
pandas,strings_unique_1k_len64_bulk_write,,,,,,8.506583,8.703833,1000,cells,117556.01514732768
tablib,strings_unique_1k_len64_bulk_write,,,,,,7.159,7.623208,1000,cells,139684.3134515994
wolfxl,strings_unique_1k_len64_bulk_write,,,,,,20.027708,20.059625,1000,cells,49930.82583388973
rust_xlsxwriter,strings_unique_1k_len64_bulk_write,,,,,,19.266333,19.697834,1000,cells,51904.01307815037
xlsxwriter,strings_unique_1k_len256_bulk_write,,,,,,8.936583,9.017708,1000,cells,111899.59294285074
openpyxl,strings_unique_1k_len256_bulk_write,,,,,,7.74825,8.313791,1000,cells,129061.40096150745
pandas,strings_unique_1k_len256_bulk_write,,,,,,10.467667,10.546959,1000,cells,95532.27094442344
tablib,strings_unique_1k_len256_bulk_write,,,,,,8.880334,9.445375,1000,cells,112608.37711734718
wolfxl,strings_unique_1k_len256_bulk_write,,,,,,29.0695,29.172916,1000,cells,34400.31648291164
rust_xlsxwriter,strings_unique_1k_len256_bulk_write,,,,,,29.337875,29.397583,1000,cells,34085.631628057585
xlsxwriter,strings_repeated_1k_len256_bulk_write,,,,,,4.096125,4.253875,1000,cells,244133.17464676982
openpyxl,strings_repeated_1k_len256_bulk_write,,,,,,7.685916,7.776209,1000,cells,130108.10943028782
pandas,strings_repeated_1k_len256_bulk_write,,,,,,9.448792,9.526708,1000,cells,105833.6346064132
tablib,strings_repeated_1k_len256_bulk_write,,,,,,8.460084,8.74425,1000,cells,118202.13605444107
wolfxl,strings_repeated_1k_len256_bulk_write,,,,,,10.71325,10.7455,1000,cells,93342.35642778802
rust_xlsxwriter,strings_repeated_1k_len256_bulk_write,,,,,,10.536583,10.605584,1000,cells,94907.42871764024
xlsxwriter,strings_unique_10k_bulk_write,,,,,,30.557375,32.480708,10000,cells,327253.2408297506
openpyxl,strings_unique_10k_bulk_write,,,,,,36.860291,37.599125,10000,cells,271294.6568978525
pandas,strings_unique_10k_bulk_write,,,,,,52.155792,52.213041,10000,cells,191733.25946234312
tablib,strings_unique_10k_bulk_write,,,,,,46.317,46.333167,10000,cells,215903.4479780642
wolfxl,strings_unique_10k_bulk_write,,,,,,129.71925,131.033833,10000,cells,77089.5607244106
rust_xlsxwriter,strings_unique_10k_bulk_write,,,,,,132.768083,134.66775,10000,cells,75319.30697530671
xlsxwriter,strings_repeated_10k_bulk_write,,,,,,19.017916,20.362584,10000,cells,525819.96891773
openpyxl,strings_repeated_10k_bulk_write,,,,,,38.603292,38.755959,10000,cells,259045.26484425212
pandas,strings_repeated_10k_bulk_write,,,,,,52.241083,77.696542,10000,cells,191420.22763961458
tablib,strings_repeated_10k_bulk_write,,,,,,43.295833,43.326416,10000,cells,230969.1096600451
wolfxl,strings_repeated_10k_bulk_write,,,,,,69.409667,69.574375,10000,cells,144072.15064149493
rust_xlsxwriter,strings_repeated_10k_bulk_write,,,,,,69.079709,69.339625,10000,cells,144760.3087036745
