library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
openpyxl,cell_values,1.233583,1.266875,,,,1.318,1.440792,,,
xlsxwriter,cell_values,,,,,,1.769292,2.112125,,,
python-calamine,cell_values,0.87825,0.959708,,,,,,,,
calamine-styled,cell_values,0.207958,0.236666,,,,,,,,
rust_xlsxwriter,cell_values,,,,,,0.348125,0.416625,,,
wolfxl,cell_values,0.208125,0.222875,,,,0.356291,0.425125,,,
pylightxl,cell_values,1.318875,1.468667,,,,0.360916,0.391458,,,
xlrd,cell_values,,,,,,,,,,
pyexcel,cell_values,1.362459,1.580416,,,,1.331042,1.405292,,,
xlwt,cell_values,,,,,,0.237958,0.275708,,,
pandas,cell_values,1.592791,1.664167,,,,1.520791,1.588583,,,
xlsxwriter-constmem,cell_values,,,,,,1.820708,2.451542,,,
openpyxl-readonly,cell_values,4.691709,4.849334,,,,,,,,
polars,cell_values,0.346292,0.447625,,,,,,,,
tablib,cell_values,1.771875,2.235167,,,,2.031083,2.989666,,,
openpyxl,formulas,1.161959,1.294541,,,,1.465875,1.499167,,,
xlsxwriter,formulas,,,,,,1.826416,2.120459,,,
python-calamine,formulas,0.1555,0.162334,,,,,,,,
calamine-styled,formulas,0.161,0.181416,,,,,,,,
rust_xlsxwriter,formulas,,,,,,0.324708,0.3785,,,
wolfxl,formulas,0.161459,0.190334,,,,0.341333,0.349958,,,
pylightxl,formulas,1.14775,1.1905,,,,0.283875,0.303459,,,
xlrd,formulas,,,,,,,,,,
pyexcel,formulas,1.219542,1.270041,,,,1.5945,1.990542,,,
xlwt,formulas,,,,,,0.274958,0.33475,,,
pandas,formulas,1.473542,1.685084,,,,1.781708,2.521375,,,
xlsxwriter-constmem,formulas,,,,,,2.195583,3.567125,,,
openpyxl-readonly,formulas,1.372125,1.564042,,,,,,,,
polars,formulas,0.391417,0.47625,,,,,,,,
tablib,formulas,1.129583,1.192584,,,,1.496167,1.579875,,,
openpyxl,text_formatting,1.658333,1.69675,,,,1.728958,1.801125,,,
xlsxwriter,text_formatting,,,,,,1.995833,2.415791,,,
python-calamine,text_formatting,0.082458,0.084291,,,,,,,,
calamine-styled,text_formatting,0.147958,0.153334,,,,,,,,
rust_xlsxwriter,text_formatting,,,,,,0.403708,0.469792,,,
wolfxl,text_formatting,0.13475,0.154417,,,,0.383833,0.415458,,,
pylightxl,text_formatting,1.479666,1.5235,,,,0.4275,0.528167,,,
xlrd,text_formatting,,,,,,,,,,
pyexcel,text_formatting,1.702125,2.025167,,,,1.34275,1.536708,,,
xlwt,text_formatting,,,,,,0.332333,0.398334,,,
pandas,text_formatting,1.827708,1.907875,,,,1.52075,1.887667,,,
xlsxwriter-constmem,text_formatting,,,,,,2.107625,2.318209,,,
openpyxl-readonly,text_formatting,1.367625,1.603958,,,,,,,,
polars,text_formatting,0.277125,0.3495,,,,,,,,
tablib,text_formatting,1.632709,1.877625,,,,1.366625,1.464375,,,
openpyxl,background_colors,1.01175,1.157625,,,,1.32775,1.391792,,,
xlsxwriter,background_colors,,,,,,1.934,2.252125,,,
python-calamine,background_colors,0.055291,0.059458,,,,,,,,
calamine-styled,background_colors,0.084292,0.086625,,,,,,,,
rust_xlsxwriter,background_colors,,,,,,0.290125,0.362583,,,
wolfxl,background_colors,0.076916,0.089292,,,,0.283417,0.3205,,,
pylightxl,background_colors,0.961458,1.04175,,,,0.302,0.368459,,,
xlrd,background_colors,,,,,,,,,,
pyexcel,background_colors,1.049542,1.149416,,,,1.192083,1.241833,,,
xlwt,background_colors,,,,,,0.188,0.196458,,,
pandas,background_colors,1.198208,1.301791,,,,1.367541,1.505084,,,
xlsxwriter-constmem,background_colors,,,,,,1.69125,2.111,,,
openpyxl-readonly,background_colors,0.871625,0.905459,,,,,,,,
polars,background_colors,0.226583,0.298,,,,,,,,
