library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
openpyxl,cell_values_10k,37.436,38.121791,10000,cells,267122.55582861416,38.763375,38.984583,10000,cells,257975.47298190623
xlsxwriter,cell_values_10k,,,,,,36.610709,56.247167,10000,cells,273144.1229395475
pylightxl,cell_values_10k,38.901375,39.279666,10000,cells,257060.3224179094,32.634875,33.203375,10000,cells,306420.661945235
pyexcel,cell_values_10k,161.169417,161.799209,10000,cells,62046.510970502546,30.990167,30.999792,10000,cells,322682.99812647025
wolfxl,cell_values_10k,92.526916,93.112584,10000,cells,108076.65955277273,105.242375,105.262084,10000,cells,95018.76026648012
openpyxl,cell_values_1k,4.422834,4.452584,1000,cells,226099.3742925916,5.155583,5.59075,1000,cells,193964.48471491973
xlsxwriter,cell_values_1k,,,,,,4.575417,4.8945,1000,cells,218559.31382866306
pylightxl,cell_values_1k,5.300916,5.609583,1000,cells,188646.64144838363,3.378667,3.589583,1000,cells,295974.7142882089
pyexcel,cell_values_1k,8.742167,9.015292,1000,cells,114388.11452583781,4.607083,4.635667,1000,cells,217057.08362536554
wolfxl,cell_values_1k,9.938792,10.029292,1000,cells,100615.84949156799,11.7385,11.782792,1000,cells,85189.76019082507
openpyxl,formulas_10k,47.153167,47.178292,10000,cells,212074.8326406156,41.395959,41.644833,10000,cells,241569.4730009758
xlsxwriter,formulas_10k,,,,,,82.815084,104.798458,10000,cells,120750.94918698627
pylightxl,formulas_10k,44.613833,44.99775,10000,cells,224145.72628180144,31.514,31.522875,10000,cells,317319.28666624357
pyexcel,formulas_10k,157.786458,158.485083,10000,cells,63376.79498452268,31.051,32.156708,10000,cells,322050.81961933593
wolfxl,formulas_10k,123.713166,124.311583,10000,cells,80832.14037218965,77.782208,78.38125,10000,cells,128564.10555997588
openpyxl,formulas_1k,5.323542,5.584416,1000,cells,187844.85968176828,5.424791,5.768833,1000,cells,184338.8989548169
xlsxwriter,formulas_1k,,,,,,10.033041,10.18275,1000,cells,99670.67811244864
pylightxl,formulas_1k,5.482875,5.700042,1000,cells,182386.06570458016,3.271041,3.290125,1000,cells,305713.0742170459
pyexcel,formulas_1k,8.851666,8.882791,1000,cells,112973.08325912885,4.612,4.749459,1000,cells,216825.6721595837
wolfxl,formulas_1k,12.71575,12.726833,1000,cells,78642.62823663568,10.14875,10.269209,1000,cells,98534.30225397217
openpyxl,background_colors_1k,8.277083,8.435458,1000,cells,120815.50952189317,21.488666,22.385,1000,cells,46536.16003897125
xlsxwriter,background_colors_1k,,,,,,13.049916,13.568625,1000,cells,76628.84573356641
pylightxl,background_colors_1k,5.364375,5.383458,1000,cells,186415.00640801585,3.783583,4.238917,1000,cells,264299.7391625874
pyexcel,background_colors_1k,5.238667,5.283666,1000,cells,190888.25458842868,6.134417,6.315958,1000,cells,163014.67604826996
wolfxl,background_colors_1k,11.578709,11.643292,1000,cells,86365.41431346102,14.906209,14.999041,1000,cells,67086.13840044776
openpyxl,number_formats_1k,7.705375,8.076084,1000,cells,129779.53701150171,7.684291,7.883583,1000,cells,130135.62344268327
xlsxwriter,number_formats_1k,,,,,,11.876958,11.885625,1000,cells,84196.64361867744
pylightxl,number_formats_1k,5.164792,5.188583,1000,cells,193618.63943407594,3.569375,3.794958,1000,cells,280161.09262826125
pyexcel,number_formats_1k,4.651959,4.7955,1000,cells,214963.20152434707,4.520417,4.5535,1000,cells,221218.52917551633
wolfxl,number_formats_1k,9.14375,9.199833,1000,cells,109364.31989063567,15.341709,15.3525,1000,cells,65181.78646199065
openpyxl,alignment_1k,8.310625,8.355416,1000,cells,120327.89350981424,17.906208,18.475583,1000,cells,55846.553329437476
xlsxwriter,alignment_1k,,,,,,12.276084,12.502916,1000,cells,81459.20148477315
pylightxl,alignment_1k,5.113208,5.200458,1000,cells,195571.93839953313,3.622666,3.705542,1000,cells,276039.80052259855
pyexcel,alignment_1k,4.812208,5.093,1000,cells,207804.81641691297,5.584209,5.893,1000,cells,179076.392018995
wolfxl,alignment_1k,10.057792,10.087666,1000,cells,99425.40072413509,14.713666,14.7345,1000,cells,67964.02745583595
openpyxl,borders_200,2.571667,2.837959,200,cells,77770.5667180082,11.404167,11.441,200,cells,17537.449249910143
xlsxwriter,borders_200,,,,,,5.757583,6.246791,200,cells,34736.79841002726
pylightxl,borders_200,1.756,1.871542,200,cells,113895.21640091116,0.963875,0.966083,200,cells,207495.78524186226
pyexcel,borders_200,1.82675,1.860625,200,cells,109484.05638428903,2.416792,2.55075,200,cells,82754.32887894366
wolfxl,borders_200,4.358542,4.37225,200,cells,45886.90438224526,5.913709,5.924417,200,cells,33819.722952211545
