library,feature,read_p50_wall_ms,read_p95_wall_ms,read_op_count,read_op_unit,read_p50_units_per_sec,write_p50_wall_ms,write_p95_wall_ms,write_op_count,write_op_unit,write_p50_units_per_sec
openpyxl,cell_values,1.436708,1.819833,,,,2.0105,6.011791,,,
xlsxwriter,cell_values,,,,,,2.758083,3.485167,,,
python-calamine,cell_values,1.057291,1.145042,,,,,,,,
calamine,cell_values,8.442709,8.640292,,,,,,,,
calamine-styled,cell_values,1.610333,1.741958,,,,,,,,
rust_xlsxwriter,cell_values,,,,,,3.663084,3.754834,,,
wolfxl,cell_values,1.621625,1.787542,,,,3.685958,3.802917,,,
pylightxl,cell_values,1.627583,1.859417,,,,0.415625,0.477125,,,
xlrd,cell_values,,,,,,,,,,
pyexcel,cell_values,1.536041,1.947375,,,,1.823542,2.251125,,,
xlwt,cell_values,,,,,,0.249375,0.311833,,,
pandas,cell_values,1.946209,2.339,,,,1.988042,2.828333,,,
xlsxwriter-constmem,cell_values,,,,,,2.265792,2.753459,,,
openpyxl-readonly,cell_values,5.582584,5.866917,,,,,,,,
polars,cell_values,0.385417,0.441458,,,,,,,,
tablib,cell_values,1.436083,1.905917,,,,1.768583,2.205083,,,
openpyxl,formulas,1.206333,1.707417,,,,1.701459,2.154959,,,
xlsxwriter,formulas,,,,,,2.061625,2.854083,,,
python-calamine,formulas,0.174833,0.188209,,,,,,,,
calamine,formulas,1.1295,1.252833,,,,,,,,
calamine-styled,formulas,1.021875,1.191625,,,,,,,,
rust_xlsxwriter,formulas,,,,,,3.265042,3.426708,,,
wolfxl,formulas,1.019625,1.1655,,,,3.268458,3.398334,,,
pylightxl,formulas,1.262375,1.53225,,,,0.37575,0.52725,,,
xlrd,formulas,,,,,,,,,,
pyexcel,formulas,1.372333,1.864083,,,,1.984375,2.319708,,,
xlwt,formulas,,,,,,0.301917,0.393083,,,
pandas,formulas,1.714458,2.336541,,,,2.236125,2.628208,,,
xlsxwriter-constmem,formulas,,,,,,2.624916,3.218417,,,
openpyxl-readonly,formulas,1.711834,2.006292,,,,,,,,
polars,formulas,0.461708,0.604792,,,,,,,,
tablib,formulas,1.227291,1.759333,,,,2.030458,2.778084,,,
openpyxl,text_formatting,1.860875,2.281459,,,,2.044125,2.48175,,,
xlsxwriter,text_formatting,,,,,,2.610542,3.162208,,,
python-calamine,text_formatting,0.0875,0.089167,,,,,,,,
calamine,text_formatting,0.763333,0.812625,,,,,,,,
calamine-styled,text_formatting,1.541459,2.574083,,,,,,,,
rust_xlsxwriter,text_formatting,,,,,,4.156958,4.286833,,,
wolfxl,text_formatting,1.442209,1.672791,,,,4.094125,4.188125,,,
pylightxl,text_formatting,1.612083,1.798292,,,,0.462458,0.663125,,,
xlrd,text_formatting,,,,,,,,,,
pyexcel,text_formatting,2.060333,2.577167,,,,2.099375,3.115458,,,
xlwt,text_formatting,,,,,,0.406083,0.863208,,,
pandas,text_formatting,2.37925,2.741709,,,,1.902125,2.4445,,,
xlsxwriter-constmem,text_formatting,,,,,,2.637833,3.379375,,,
openpyxl-readonly,text_formatting,1.513167,1.942833,,,,,,,,
polars,text_formatting,0.289208,0.397208,,,,,,,,
tablib,text_formatting,1.81575,2.077917,,,,1.708083,2.128625,,,
openpyxl,background_colors,1.120959,1.458083,,,,1.510708,1.756459,,,
xlsxwriter,background_colors,,,,,,2.383459,2.727083,,,
python-calamine,background_colors,0.063791,0.069708,,,,,,,,
calamine,background_colors,0.440042,0.450834,,,,,,,,
calamine-styled,background_colors,0.717375,0.841625,,,,,,,,
rust_xlsxwriter,background_colors,,,,,,3.201334,3.552334,,,
wolfxl,background_colors,0.71125,0.740333,,,,3.260583,3.428542,,,
pylightxl,background_colors,1.042583,1.355875,,,,0.289208,0.341166,,,
xlrd,background_colors,,,,,,,,,,
pyexcel,background_colors,1.137291,1.390792,,,,1.330417,1.918917,,,
xlwt,background_colors,,,,,,0.199292,0.211459,,,
pandas,background_colors,1.285125,1.474458,,,,1.652125,2.0565,,,
xlsxwriter-constmem,background_colors,,,,,,2.095,2.5645,,,
openpyxl-readonly,background_colors,0.975833,1.388167,,,,,,,,
polars,background_colors,0.284375,0.359833,,,,,,,,
tablib,background_colors,1.157667,1.46175,,,,1.473917,1.91575,,,
openpyxl,number_formats,1.120542,1.565042,,,,1.555416,2.071833,,,
xlsxwriter,number_formats,,,,,,2.703125,3.682042,,,
python-calamine,number_formats,0.070208,0.078791,,,,,,,,
calamine,number_formats,0.461583,0.500667,,,,,,,,
calamine-styled,number_formats,0.855084,1.326708,,,,,,,,
rust_xlsxwriter,number_formats,,,,,,3.188791,3.382,,,
wolfxl,number_formats,0.75325,0.859167,,,,3.134042,3.240875,,,
pylightxl,number_formats,1.065667,1.231209,,,,0.356292,0.419834,,,
xlrd,number_formats,,,,,,,,,,
pyexcel,number_formats,1.227292,1.586125,,,,1.529083,1.941459,,,
xlwt,number_formats,,,,,,0.22775,0.336584,,,
pandas,number_formats,1.304917,1.70625,,,,1.78425,2.574125,,,
xlsxwriter-constmem,number_formats,,,,,,2.523375,3.186792,,,
openpyxl-readonly,number_formats,0.991541,1.306125,,,,,,,,
polars,number_formats,0.239625,0.309417,,,,,,,,
tablib,number_formats,1.087167,1.387166,,,,1.486833,1.719209,,,
openpyxl,alignment,1.286125,1.543667,,,,1.635959,2.161375,,,
xlsxwriter,alignment,,,,,,2.326791,3.020583,,,
python-calamine,alignment,0.056875,0.063625,,,,,,,,
calamine,alignment,0.425583,0.506458,,,,,,,,
calamine-styled,alignment,0.871334,0.948,,,,,,,,
rust_xlsxwriter,alignment,,,,,,3.432083,3.579833,,,
wolfxl,alignment,0.887042,1.084292,,,,3.364666,3.516208,,,
pylightxl,alignment,,,,,,0.321542,0.342833,,,
xlrd,alignment,,,,,,,,,,
pyexcel,alignment,1.3695,1.649416,,,,1.502041,1.906667,,,
xlwt,alignment,,,,,,0.241125,0.298333,,,
pandas,alignment,1.747875,2.024042,,,,1.672667,2.292416,,,
xlsxwriter-constmem,alignment,,,,,,2.531125,2.917709,,,
openpyxl-readonly,alignment,1.028959,1.338041,,,,,,,,
polars,alignment,0.294209,0.346541,,,,,,,,
tablib,alignment,1.341,1.681791,,,,1.556291,1.869,,,
openpyxl,borders,1.957792,2.31275,,,,2.753666,3.303459,,,
xlsxwriter,borders,,,,,,3.178584,3.607458,,,
python-calamine,borders,0.073917,0.080166,,,,,,,,
calamine,borders,0.706791,0.786417,,,,,,,,
calamine-styled,borders,2.653875,2.876708,,,,,,,,
rust_xlsxwriter,borders,,,,,,4.299167,4.464875,,,
wolfxl,borders,2.713709,2.856833,,,,4.346542,4.460458,,,
pylightxl,borders,,,,,,0.436542,0.55925,,,
xlrd,borders,,,,,,,,,,
pyexcel,borders,1.948375,2.625625,,,,1.647958,2.103875,,,
xlwt,borders,,,,,,0.472583,0.659458,,,
pandas,borders,2.231125,2.630833,,,,2.08,2.393625,,,
xlsxwriter-constmem,borders,,,,,,2.861583,3.578583,,,
openpyxl-readonly,borders,1.415959,1.90575,,,,,,,,
polars,borders,0.304375,0.4445,,,,,,,,
tablib,borders,1.993959,2.385,,,,1.783084,2.094375,,,
openpyxl,dimensions,1.086083,1.489167,,,,1.566875,1.990417,,,
xlsxwriter,dimensions,,,,,,2.070958,2.517125,,,
