library,feature,read_score,write_score
openpyxl,cell_values,3,3
xlsxwriter,cell_values,,3
python-calamine,cell_values,1,
pylightxl,cell_values,3,1
xlrd,cell_values,,
openpyxl,formulas,3,3
xlsxwriter,formulas,,3
python-calamine,formulas,0,
pylightxl,formulas,0,3
xlrd,formulas,,
openpyxl,text_formatting,3,3
xlsxwriter,text_formatting,,3
python-calamine,text_formatting,0,
pylightxl,text_formatting,0,0
xlrd,text_formatting,,
openpyxl,background_colors,3,3
xlsxwriter,background_colors,,3
python-calamine,background_colors,0,
pylightxl,background_colors,0,0
xlrd,background_colors,,
openpyxl,number_formats,3,3
xlsxwriter,number_formats,,3
python-calamine,number_formats,0,
pylightxl,number_formats,0,0
xlrd,number_formats,,
openpyxl,alignment,3,3
xlsxwriter,alignment,,3
python-calamine,alignment,1,
pylightxl,alignment,0,1
xlrd,alignment,,
openpyxl,borders,3,3
xlsxwriter,borders,,3
python-calamine,borders,0,
pylightxl,borders,0,0
xlrd,borders,,
openpyxl,dimensions,3,3
xlsxwriter,dimensions,,3
python-calamine,dimensions,0,
pylightxl,dimensions,0,0
xlrd,dimensions,,
openpyxl,multiple_sheets,3,3
xlsxwriter,multiple_sheets,,3
python-calamine,multiple_sheets,3,
pylightxl,multiple_sheets,3,3
xlrd,multiple_sheets,,
openpyxl,merged_cells,3,3
xlsxwriter,merged_cells,,3
python-calamine,merged_cells,0,
pylightxl,merged_cells,0,0
xlrd,merged_cells,,
openpyxl,conditional_formatting,3,3
xlsxwriter,conditional_formatting,,3
python-calamine,conditional_formatting,0,
pylightxl,conditional_formatting,0,0
xlrd,conditional_formatting,,
openpyxl,data_validation,3,3
xlsxwriter,data_validation,,3
python-calamine,data_validation,0,
pylightxl,data_validation,0,0
xlrd,data_validation,,
openpyxl,hyperlinks,3,3
xlsxwriter,hyperlinks,,3
python-calamine,hyperlinks,0,
pylightxl,hyperlinks,0,0
xlrd,hyperlinks,,
openpyxl,images,3,3
xlsxwriter,images,,3
python-calamine,images,0,
pylightxl,images,0,0
xlrd,images,,
openpyxl,pivot_tables,,
xlsxwriter,pivot_tables,,
python-calamine,pivot_tables,,
pylightxl,pivot_tables,,
xlrd,pivot_tables,,
openpyxl,comments,3,3
xlsxwriter,comments,,3
python-calamine,comments,0,
pylightxl,comments,0,0
xlrd,comments,,
openpyxl,freeze_panes,3,3
xlsxwriter,freeze_panes,,3
python-calamine,freeze_panes,0,
pylightxl,freeze_panes,0,0
xlrd,freeze_panes,,
